Crossover Rate,VAMM,Std Dev,Relative Distance (%),Generations to Convergence
0.7,2675.587942248618,96.6408335644455,374.3950252213862,2000.0
0.75,2686.040608139659,125.51413156917461,376.24833477653533,1986.3666666666666
0.8,2711.5102116409057,145.69176436899193,380.7642219221464,2000.0
0.85,2699.0507285060335,118.53564582007901,378.5550937067436,2000.0
0.9,2671.411735541274,89.43847999310493,373.654563039233,2000.0
