population_size,elite_size,crossover_rate,mutation_rate,replace_strategy,seed,best_distance,execution_time,generations_to_convergence,generations_to_best,generations_to_stable,improvement_rate
10,1,0.7,0.02,worst,0,2788.357465595449,7.307417869567871,2000,1966,2,0.8335557136753171
10,1,0.7,0.02,worst,1,2650.1946375365706,7.277166843414307,2000,1990,2,0.8201759002938723
10,1,0.7,0.02,worst,2,2656.492338317458,7.3253819942474365,2000,1955,3,0.929065751675108
10,1,0.7,0.02,worst,3,2600.293605184493,7.279909133911133,2000,1910,3,0.9528239455563783
10,1,0.7,0.02,worst,4,2645.1342591691896,7.277337074279785,2000,1995,3,0.8003322069180082
10,1,0.7,0.02,worst,5,2544.4401379025085,7.255752801895142,2000,1972,2,0.8650741013155313
10,1,0.7,0.02,worst,6,2863.0675654486454,7.262286186218262,2000,1914,2,0.7585802840902273
10,1,0.7,0.02,worst,7,2713.5766698751854,7.298509120941162,2000,1986,2,0.7294585044332291
10,1,0.7,0.02,worst,8,2680.433717054894,7.27193284034729,2000,1994,2,0.904664480077307
10,1,0.7,0.02,worst,9,2584.5018824989065,7.292057752609253,2000,2000,3,0.8773265374811522
10,1,0.7,0.02,worst,10,2599.6921488635035,7.262745141983032,2000,1938,3,0.9491741397206208
10,1,0.7,0.02,worst,11,2659.136289028402,7.310620307922363,2000,1978,2,0.8267453180237011
10,1,0.7,0.02,worst,12,2656.0011131408646,7.314781188964844,2000,1921,3,0.8743846891437301
10,1,0.7,0.02,worst,13,2602.352572475792,7.645641803741455,2000,1994,4,0.888255223261818
10,1,0.7,0.02,worst,14,2665.997683975309,7.264061212539673,2000,1995,3,0.7621507602748245
10,1,0.7,0.02,worst,15,2669.4864295959114,7.309540033340454,2000,1911,3,0.8621357399272686
10,1,0.7,0.02,worst,16,2744.166912979247,7.255342960357666,2000,1918,2,0.8773345201994484
10,1,0.7,0.02,worst,17,2543.4182728672426,7.248626947402954,2000,1902,2,0.912592692809097
10,1,0.7,0.02,worst,18,2638.793834629157,7.267336130142212,2000,1921,2,0.8641936913205545
10,1,0.7,0.02,worst,19,2502.418908340066,7.230229139328003,2000,1994,2,0.8775827851749886
10,1,0.7,0.02,worst,20,2806.4209336794643,7.273952007293701,2000,1927,2,0.6722923037155928
10,1,0.7,0.02,worst,21,2526.3487052523456,7.25580906867981,2000,1959,2,0.9039800716512166
10,1,0.7,0.02,worst,22,2776.4531899888925,7.270222902297974,2000,1994,2,0.622073571617561
10,1,0.7,0.02,worst,23,2672.848957549179,7.314527988433838,2000,1991,2,0.7952559338945511
10,1,0.7,0.02,worst,24,2625.60378465591,7.345071077346802,2000,1974,2,0.6568159387310103
10,1,0.7,0.02,worst,25,2856.7120202643496,7.277456045150757,2000,1983,2,0.7964922530151043
10,1,0.7,0.02,worst,26,2730.076346935317,7.276402950286865,2000,1986,2,0.8040922607247543
10,1,0.7,0.02,worst,27,2856.2313799634576,7.256799936294556,2000,1993,2,0.6891381725362979
10,1,0.7,0.02,worst,28,2683.9789079516086,7.250637054443359,2000,1982,2,0.8572171471511987
10,1,0.7,0.02,worst,29,2725.0075967392336,7.245023250579834,2000,1938,4,0.7917311974063481
10,1,0.75,0.02,worst,0,2784.8229642522965,7.2974278926849365,2000,1886,2,0.8707873989548387
10,1,0.75,0.02,worst,1,2685.8359315051066,7.274617910385132,2000,1987,2,0.8034769741400453
10,1,0.75,0.02,worst,2,2651.2489874073854,7.356003046035767,2000,1994,3,0.9135240197767845
10,1,0.75,0.02,worst,3,2551.8262643491535,7.304672956466675,2000,1912,3,0.9771762954226056
10,1,0.75,0.02,worst,4,2593.0536600462997,7.304011106491089,2000,1992,3,0.8276824055844961
10,1,0.75,0.02,worst,5,2536.8064506764904,7.357516050338745,2000,1992,2,0.8602207906728142
10,1,0.75,0.02,worst,6,2737.7551541305284,7.312670946121216,2000,1956,2,0.806357400340906
10,1,0.75,0.02,worst,7,2628.5751280986224,7.362895965576172,2000,1962,2,0.7817054697150643
10,1,0.75,0.02,worst,8,2707.0307573310556,7.328714847564697,2000,1995,5,0.8908791644100192
10,1,0.75,0.02,worst,9,2452.7258878187677,7.3108110427856445,2000,1918,3,0.9835396609188963
10,1,0.75,0.02,worst,10,2601.466758818574,7.356219053268433,2000,1918,3,0.9581464404710598
10,1,0.75,0.02,worst,11,2909.5121435838737,7.323203086853027,2000,1906,2,0.7266140527258181
10,1,0.75,0.02,worst,12,2663.639851587298,7.293478727340698,2000,1975,2,0.8466097465309733
10,1,0.75,0.02,worst,13,2790.810310179767,7.2933669090271,2000,1980,4,0.7993551401414597
10,1,0.75,0.02,worst,14,2878.57559770204,6.630011796951294,1808,1507,3,0.9299283926751664
10,1,0.75,0.02,worst,15,2676.671474723198,7.32848596572876,2000,1961,3,0.8364897266056723
10,1,0.75,0.02,worst,16,2518.653578967064,7.371963977813721,2000,1986,2,0.9608463966539402
10,1,0.75,0.02,worst,17,2663.1343009559423,7.326511859893799,2000,1982,2,0.8153558393714444
10,1,0.75,0.02,worst,18,2523.6779213556893,7.397908926010132,2000,1929,2,0.9202861556766475
10,1,0.75,0.02,worst,19,2711.228953364226,7.319967985153198,2000,1992,2,0.7736395725977746
10,1,0.75,0.02,worst,20,2702.014518458219,7.365548133850098,2000,1900,2,0.736796676042733
10,1,0.75,0.02,worst,21,2803.560674427436,6.522459030151367,1783,1482,2,1.0078846094397051
10,1,0.75,0.02,worst,22,2509.0872927347364,7.319073915481567,2000,1956,2,0.7708489770243215
10,1,0.75,0.02,worst,23,2731.3516156192104,7.344487190246582,2000,1950,2,0.7819753365712921
10,1,0.75,0.02,worst,24,2642.6963779065477,7.305428981781006,2000,1998,3,0.6403714063084969
10,1,0.75,0.02,worst,25,2794.2864831981647,7.302498817443848,2000,1962,2,0.7927034107311293
10,1,0.75,0.02,worst,26,2790.020317411197,7.409825086593628,2000,1965,2,0.7821797757371409
10,1,0.75,0.02,worst,27,3004.7208356866026,7.414199113845825,2000,1994,2,0.6143244343739702
10,1,0.75,0.02,worst,28,2688.317009775206,7.343889951705933,2000,1978,2,0.8567574741304745
10,1,0.75,0.02,worst,29,2648.1110421190824,7.33085298538208,2000,1998,2,0.8131112887573537
10,1,0.8,0.02,worst,0,2789.728155717459,7.380629062652588,2000,1940,2,0.8440205376101358
10,1,0.8,0.02,worst,1,2781.237558078982,7.372387647628784,2000,1918,2,0.7826418774986414
10,1,0.8,0.02,worst,2,2404.6887138650636,7.375211000442505,2000,1981,3,1.0439814078633167
