population_size,elite_size,crossover_rate,mutation_rate,replace_strategy,seed,best_distance,execution_time,generations_to_convergence,generations_to_best,generations_to_stable,improvement_rate
100,1,0.5,0.05,rnd,0,76598.42433257702,182.88271689414978,500,500,2,49.32263538586328
100,1,0.5,0.05,rnd,1,79016.43640541327,182.0103578567505,500,498,2,47.825542538977686
100,1,0.5,0.05,rnd,2,78873.26557774469,192.17862606048584,500,499,2,47.83963905521542
100,1,0.5,0.05,rnd,3,79915.72410889782,188.12049508094788,500,497,2,45.356342530617155
100,1,0.5,0.05,rnd,4,75843.9530129441,190.23118591308594,500,500,3,54.13071744622607
100,1,0.5,0.05,rnd,5,79699.67055931459,189.32588696479797,500,500,2,45.98134667014723
100,1,0.5,0.05,rnd,6,75556.54778465997,189.94979786872864,500,500,3,57.489438920409185
100,1,0.5,0.05,rnd,7,77071.38717084401,179.34709286689758,500,498,2,50.67967331235653
100,1,0.5,0.05,rnd,8,77179.44603856825,189.23171305656433,500,500,2,52.74519932672212
100,1,0.5,0.05,rnd,9,77249.36572890448,186.64769792556763,500,499,2,51.430889890427174
100,1,0.6,0.05,rnd,0,76632.18000229112,198.40845799446106,500,500,2,49.255124046435085
100,1,0.6,0.05,rnd,1,75200.28037971126,195.91141390800476,500,498,2,55.48850644600985
100,1,0.6,0.05,rnd,2,77963.3294684844,195.75887989997864,500,500,2,49.56383199562557
100,1,0.6,0.05,rnd,3,77322.87225146944,192.81434774398804,500,500,2,50.26990819029021
100,1,0.6,0.05,rnd,4,76412.81987335802,198.38897109031677,500,500,2,52.088623904546225
100,1,0.6,0.05,rnd,5,75955.68526203254,193.98698687553406,500,498,2,53.68405347862584
100,1,0.6,0.05,rnd,6,74775.82842410097,202.44607210159302,500,499,2,57.85101861794834
100,1,0.6,0.05,rnd,7,74024.10511046366,204.8712339401245,500,498,2,56.79871359424479
100,1,0.6,0.05,rnd,8,74899.08191375401,210.26970386505127,500,499,2,57.42076911457976
100,1,0.6,0.05,rnd,9,75962.76627138506,195.96070003509521,500,496,2,52.76966842265228
100,1,0.7,0.05,rnd,0,75790.2719272116,206.14980912208557,500,500,2,50.93894019659414
100,1,0.7,0.05,rnd,1,77783.9082265453,200.5803439617157,500,500,2,50.09929672655772
100,1,0.7,0.05,rnd,2,75647.06912369544,205.82702612876892,500,499,2,54.30496261042433
100,1,0.7,0.05,rnd,3,74733.26508401838,205.4876389503479,500,500,3,57.61368000905012
100,1,0.7,0.05,rnd,4,75612.37517253033,204.64115715026855,500,500,2,53.68951330620161
100,1,0.7,0.05,rnd,5,75140.5494367241,209.27217984199524,500,500,3,58.80775081470091
100,1,0.7,0.05,rnd,6,74421.2363124421,204.67483067512512,500,499,2,59.879821507860655
100,1,0.7,0.05,rnd,7,74486.73407778582,209.93495512008667,500,499,2,55.70686267854643
100,1,0.7,0.05,rnd,8,74573.02824242467,202.62947010993958,500,497,3,57.43760465896426
100,1,0.7,0.05,rnd,9,74025.81069434763,199.42559599876404,500,500,2,59.556883510540764
100,1,0.8,0.05,rnd,0,73207.83537607461,203.7661838531494,500,500,2,56.103813298868104
100,1,0.8,0.05,rnd,1,73959.55683611774,208.21981120109558,500,500,2,57.747999507412835
100,1,0.8,0.05,rnd,2,73436.086846244,210.33717226982117,500,499,2,58.73578881774186
100,1,0.8,0.05,rnd,3,72429.93481891895,208.045823097229,500,499,2,56.72456178692042
100,1,0.8,0.05,rnd,4,74884.52353433688,205.4611201286316,500,500,2,55.1452165825885
100,1,0.8,0.05,rnd,5,74305.74011735205,216.33627200126648,500,500,2,59.722572626235575
100,1,0.8,0.05,rnd,6,74528.42749537835,208.28628182411194,500,500,2,59.23126367392164
100,1,0.8,0.05,rnd,7,74074.25281317756,206.08869624137878,500,497,2,56.57141575272975
100,1,0.8,0.05,rnd,8,74923.99746237457,209.838063955307,500,500,3,56.39104059111068
100,1,0.8,0.05,rnd,9,74063.96727240643,219.1858892440796,500,500,2,59.172917278297305
100,1,0.9,0.05,rnd,0,74985.43787895112,232.01600694656372,500,499,2,52.653916125365804
100,1,0.9,0.05,rnd,1,73449.32362534705,223.29946303367615,500,500,2,57.55691492036224
100,1,0.9,0.05,rnd,2,73826.49979225395,216.559424161911,500,499,2,57.71080055573466
100,1,0.9,0.05,rnd,3,73490.86386304376,215.87146282196045,500,498,2,54.7080869227881
100,1,0.9,0.05,rnd,4,74112.515536124,220.2567012310028,500,498,2,56.9169001797332
100,1,0.9,0.05,rnd,5,74107.43652760828,228.2881190776825,500,500,4,60.020674175607446
100,1,0.9,0.05,rnd,6,75269.65439829865,232.00787901878357,500,500,2,57.6099654970777
100,1,0.9,0.05,rnd,7,73752.13818508029,228.80832290649414,500,498,2,57.34483191830778
100,1,0.9,0.05,rnd,8,75446.00477959332,232.90995573997498,500,499,2,55.90914415502038
100,1,0.9,0.05,rnd,9,70930.32755079513,237.23942518234253,500,500,2,65.4401967215199
